,ID,Street_cat,House №,Metro_cat,Time to metro,District_cat,Photos count
309,274160822,38,5,21,5.0,1,21
310,273997856,35,6,18,4.0,1,17
311,274968426,41,6,20,5.0,1,25
312,274617829,43,9,19,10.0,1,11
313,273460010,44,4,19,5.0,1,22
314,274042642,42,0,20,3.0,1,25
315,273668901,42,0,23,15.0,1,28
316,273387110,38,3,21,7.0,1,13
317,271712915,42,17,20,4.0,1,27
318,274941472,45,18,22,6.0,1,18
319,274389673,35,6,18,5.0,1,21
320,272948850,38,19,19,7.0,1,29
321,274265622,46,1,20,5.0,1,7
322,274736912,47,5,20,7.0,1,13
323,270596945,48,73,24,7.0,3,24
324,273451067,49,35,21,6.0,1,20
325,272817173,49,35,21,7.0,1,8
326,274025893,38,3,19,4.0,1,20
327,273998987,48,5,19,6.0,1,10
328,273605459,40,16,21,4.0,1,16
329,273005010,38,21,19,6.0,1,22
330,274403923,50,17,19,6.0,1,28
331,274930449,45,18,19,6.0,1,42
332,274620805,44,4,19,5.0,1,41
333,270548491,38,21,19,4.0,1,27
334,269907925,38,21,22,6.0,1,21
335,273910962,35,8,18,5.0,1,18
336,272284525,35,6,18,4.0,1,39
337,258854289,51,2,22,6.0,1,22
338,274337663,46,1,20,7.0,1,23
339,274310820,52,8,20,11.0,1,28
340,274826437,48,73,24,7.0,3,14
341,274862056,48,71,20,10.0,1,18
342,273803362,43,9,21,6.0,1,18
343,273231691,44,4,19,5.0,1,16
344,274997687,49,22,21,5.0,1,18
345,274501552,36,11,19,3.0,1,7
346,274843140,38,14,19,5.0,1,18
347,273689433,42,16,20,6.0,1,16
348,274835253,42,16,20,7.0,1,22
349,155990459,40,16,21,4.0,1,22
350,272896002,53,18,22,6.0,1,22
351,274176645,35,4,18,2.0,1,22
352,268110903,38,5,21,7.0,1,17
353,272250852,38,5,21,5.0,1,14
354,268940428,54,9,19,10.0,1,20
355,274939068,45,18,22,9.0,1,32
356,255388888,42,17,20,5.0,1,16
357,271824007,44,50,20,5.0,1,21
358,274181774,54,9,19,7.0,1,14
359,273148119,44,4,19,5.0,1,14
360,273344928,38,19,21,5.0,1,15
361,269763841,38,21,19,3.0,1,14
362,274619017,40,16,21,2.0,1,14
363,273525569,38,21,19,4.0,1,20
364,274020738,35,8,18,5.0,1,14
365,268266823,49,26,21,5.0,1,21
366,273785167,35,4,18,2.0,1,14
367,269679389,40,2,22,4.0,1,13
368,271740344,35,6,18,3.0,1,14
369,229440304,51,2,21,5.0,1,22
370,271195235,49,23,21,6.0,1,5
371,194057094,55,13,22,3.0,1,16
372,274437045,56,2,24,7.0,3,25
373,237809420,43,9,21,6.0,1,15
374,235805453,43,9,20,10.0,1,8
375,271793380,57,20,20,8.0,1,18
376,212768104,58,2,20,7.0,1,24
377,274857105,59,3,20,5.0,1,15
378,273770406,58,2,20,7.0,1,14
379,272094765,44,33,20,3.0,1,7
380,274634999,46,2,20,7.0,1,19
381,274357475,48,68,20,8.0,1,16
382,274043819,38,15,19,5.0,1,20
383,273378576,58,2,20,7.0,1,17
384,274114632,48,73,24,5.0,3,12
385,274067060,48,57,20,5.0,1,34
386,274113086,48,27,20,3.0,1,14
387,274403628,59,9,20,9.0,1,28
388,274962198,48,49,20,4.0,1,4
389,239198302,55,16,22,6.0,1,16
390,274805813,43,8,21,6.0,1,18
391,269993892,39,3,20,2.0,1,22
392,215194648,55,3,22,4.0,1,24
393,225860654,35,4,18,2.0,1,13
394,274568774,54,9,25,4.0,1,27
395,271175941,37,1,22,6.0,1,26
396,274356905,60,11,19,8.0,1,12
397,268192176,61,7,21,5.0,1,24
398,274217256,59,11,20,8.0,1,12
399,274847835,48,68,24,6.0,3,15
400,274537716,62,8,24,5.0,3,17
401,274340524,60,11,20,8.0,1,25
402,271972500,44,4,19,5.0,1,21
403,237156911,52,10,20,5.0,1,22
404,274019839,63,4,22,5.0,1,26
405,268431022,55,6,22,2.0,1,18
406,274713768,55,3,22,2.0,1,9
407,269675669,38,5,21,6.0,1,13
408,273905760,54,9,25,4.0,1,30
409,267064065,53,18,22,6.0,1,35
410,274859209,48,33,20,1.0,1,29
411,270580932,61,7,21,3.0,1,47
412,271453510,35,4,18,5.0,1,29
413,274553672,54,9,25,4.0,1,19
414,274916044,59,15,20,11.0,1,22
415,230040643,59,9,20,9.0,1,4
416,273963314,59,15,20,9.0,1,13
417,274016615,52,10,20,6.0,1,12
418,269936434,59,11,20,9.0,1,10
419,274549022,62,8,24,6.0,3,15
420,268907598,38,7,21,5.0,1,9
421,273350191,59,19,24,6.0,3,10
422,274995605,44,36,20,1.0,1,22
423,274339073,59,10,20,9.0,1,9
424,274550310,48,70,24,6.0,3,13
425,272839407,48,56,20,4.0,1,8
426,243736175,64,5,18,9.0,1,35
427,274377532,40,28,21,6.0,1,10
428,272685227,48,45,20,1.0,1,14
429,269864145,48,33,20,1.0,1,19
430,270980996,37,1,22,4.0,1,8
431,272753865,48,45,20,4.0,1,23
432,271723569,48,44,20,2.0,1,16
433,273821511,65,3,17,5.0,1,19
434,274529945,43,9,21,6.0,1,15
