ID,"Высота потолков, м",total_area,price,price_per_sqm,utility_payments,rooms_count,has_layout,layout_is_adjacent,layout_is_isolated,layout_is_studio,layout_is_unknown,parking_type,parking_is_unknown,renovation_grades,is_renovated,renovation_is_unknown,floor,storeys,first_floor,last_floor,residential_name,unknown_allowed,childrens,pets,is_home_series,elevator,balcony,Street_cat,House №,Metro_cat,Time to metro,District_cat,Photos count,rooms_layout_студия,rooms_layout_unknown,rooms_layout_изолированная,rooms_layout_смежная,rooms_layout_оба варианта,renovation_Без ремонта,renovation_Косметический,renovation_Евроремонт,renovation_unknown,renovation_Дизайнерский,trash_Да,trash_Нет,trash_unknown,home_type_старый фонд,home_type_сталинский,home_type_монолитно-кирпичный,home_type_блочный,home_type_unknown,home_type_монолитный,home_type_кирпичный,home_type_панельный
273911217,,155.0,250000.0,1612.9032258064517,0,5,0,0,0,0,1,0,1,3,1,0,4,6,0,0,0,1,0,0,0,1,0,5,47,1,6.0,1,31,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
269716469,3.0,134.0,300000.0,2238.805970149254,1,3,0,0,0,0,1,1,0,2,1,0,8,16,0,0,1,0,1,1,0,2,0,16,8,1,5.0,1,15,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
274137125,,214.6,500000.0,2329.9161230195714,0,5,0,0,0,0,1,1,0,3,1,0,3,13,0,0,1,0,1,1,0,1,0,3,17,5,7.0,1,24,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
274140104,3.2,204.0,500000.0,2450.9803921568628,1,5,1,1,1,0,0,0,0,,0,1,2,14,0,0,1,0,1,1,1,2,0,3,17,1,5.0,1,27,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
271258034,,180.0,500000.0,2777.777777777778,0,5,0,0,0,0,1,0,1,2,1,0,7,8,0,0,0,0,1,0,0,1,1,9,13,1,9.0,1,35,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
166833883,,260.0,590000.0,2269.230769230769,1,6,0,0,0,0,1,0,1,3,1,0,6,8,0,0,0,0,1,1,0,2,5,17,32,2,6.0,1,33,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
273798495,,237.1,650000.0,2741.459299873471,1,4,0,0,0,0,1,0,1,3,1,0,7,11,0,0,1,1,0,0,0,2,1,18,17,1,6.0,1,18,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
274810876,,215.0,700000.0,3255.813953488372,0,4,0,0,0,0,1,1,0,2,1,0,5,5,0,1,0,1,0,0,0,0,0,2,21,1,4.0,1,36,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
274199925,,100.0,115000.0,1150.0,1,3,0,0,0,0,1,0,1,,0,1,2,3,0,0,0,0,1,0,0,0,0,5,31,2,10.0,1,11,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
274223065,,60.0,120000.0,2000.0,0,2,0,0,0,0,1,0,1,3,1,0,3,6,0,0,0,1,0,0,0,0,0,8,3,1,8.0,1,14,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
271264562,3.2,170.0,175000.0,1029.4117647058824,1,5,0,0,0,0,1,0,0,2,1,0,5,5,0,1,0,0,1,1,0,1,0,14,23,3,5.0,1,17,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
272632345,3.0,98.0,185000.0,1887.7551020408164,0,3,0,0,0,0,1,0,1,,0,1,6,6,0,1,0,1,0,0,0,1,0,5,15,2,6.0,1,13,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
274018110,3.1,175.0,200000.0,1142.857142857143,0,2,0,0,0,0,1,1,0,,0,1,3,9,0,0,1,1,0,0,0,2,0,10,8,2,5.0,1,20,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
274029603,,180.0,350000.0,1944.4444444444443,1,4,1,1,1,0,0,0,1,2,1,0,3,4,0,0,0,0,1,0,0,1,0,5,32,1,5.0,1,27,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
274548856,,132.0,350000.0,2651.5151515151515,1,4,0,0,0,0,1,1,0,3,1,0,12,13,0,0,1,0,1,1,0,4,0,3,17,1,6.0,1,26,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
271766412,,228.0,400000.0,1754.3859649122808,0,6,0,0,0,0,1,0,1,2,1,0,3,6,0,0,0,1,0,0,0,1,1,4,5,4,4.0,1,37,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
269165004,4.2,92.3,470000.0,5092.091007583966,0,3,0,0,0,0,1,1,0,,0,1,3,7,0,0,1,1,0,0,0,2,0,3,21,1,2.0,1,20,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
274105576,3.2,204.0,500000.0,2450.9803921568628,0,5,1,1,1,0,0,1,0,2,1,0,2,13,0,0,1,0,1,1,0,1,1,3,17,1,5.0,1,14,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
273785180,3.2,160.0,650000.0,4062.5,0,4,1,1,1,0,0,0,1,2,1,0,26,26,0,1,1,0,1,1,0,1,0,1,15,2,4.0,1,12,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
273785183,3.2,140.0,650000.0,4642.857142857143,0,4,1,1,1,0,0,0,1,2,1,0,25,26,0,0,1,0,1,1,0,1,0,1,15,2,4.0,1,12,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
273785185,3.2,140.0,700000.0,5000.0,0,4,1,1,1,0,0,0,1,2,1,0,25,26,0,0,1,0,1,1,0,1,2,1,15,2,4.0,1,12,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
274528249,,45.0,120000.0,2666.6666666666665,1,1,0,0,0,0,1,0,0,3,1,0,6,7,0,0,0,1,0,0,0,1,1,19,5,2,3.0,1,26,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
274431438,3.2,65.0,130000.0,2000.0,0,3,1,1,1,0,0,0,0,2,1,0,7,7,0,1,0,0,1,1,0,1,0,20,3,1,3.0,1,14,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
